x_value,total_1,total_2
284,1314,1113
285,1319,1116
286,1319,1115
287,1315,1121
288,1322,1116
289,1325,1121
290,1321,1125
291,1328,1123
292,1324,1123
293,1325,1125
294,1323,1130
295,1326,1129
296,1323,1125
297,1326,1128
298,1321,1128
299,1329,1126
300,1335,1123
301,1333,1121
302,1341,1126
303,1336,1130
304,1343,1130
305,1344,1125
306,1338,1125
307,1340,1120
308,1340,1120
309,1341,1123
310,1349,1126
311,1352,1121
312,1359,1118
313,1362,1113
314,1360,1119
315,1362,1118
316,1365,1113
317,1371,1109
318,1379,1108
319,1376,1106
320,1372,1105
321,1379,1109
322,1379,1109
323,1378,1115
324,1375,1112
325,1371,1117
326,1367,1115
327,1365,1117
328,1361,1116
329,1363,1114
330,1367,1109
331,1361,1106
332,1358,1112
333,1366,1117
334,1360,1122
335,1362,1124
336,1365,1128
337,1369,1128
338,1364,1129
339,1360,1131
340,1360,1135
341,1361,1139
342,1355,1145
343,1361,1141
344,1355,1141
345,1357,1143
346,1357,1146
347,1362,1152
348,1370,1149
349,1366,1155
350,1365,1159
351,1364,1160
352,1362,1164
353,1363,1162
354,1361,1161
355,1357,1166
356,1359,1162
357,1360,1164
358,1361,1168
359,1361,1165
360,1358,1160
361,1356,1160
362,1359,1162
363,1365,1166
364,1372,1169
365,1366,1174
366,1372,1173
367,1366,1174
368,1367,1171
369,1365,1173
370,1366,1176
371,1371,1180
372,1368,1185
373,1373,1189
374,1370,1194
375,1372,1192
376,1377,1189
377,1380,1192
378,1388,1189
379,1387,1184
380,1394,1189
381,1393,1195
382,1397,1192
383,1391,1189
384,1397,1189
385,1395,1194
386,1391,1191
387,1392,1191
388,1400,1189
389,1394,1191
390,1390,1187
391,1397,1183
392,1402,1187
393,1409,1182
394,1406,1182
395,1413,1184
396,1415,1179
397,1420,1178
398,1415,1175
399,1409,1174
400,1407,1176
401,1406,1176
402,1402,1175
403,1410,1170
404,1418,1174
405,1416,1170
406,1410,1173
407,1404,1179
408,1404,1177
409,1410,1181
410,1410,1180
411,1404,1176
412,1399,1172
413,1402,1171
414,1396,1171
415,1403,1168
416,1400,1168
417,1395,1167
418,1396,1164
419,1390,1159
420,1386,1161
421,1386,1160
422,1389,1165
423,1386,1160
424,1391,1163
425,1394,1167
426,1398,1165
427,1401,1169
428,1395,1172
429,1400,1174
430,1395,1177
431,1390,1180
432,1394,1184
433,1396,1188
434,1400,1193
435,1405,1192
436,1412,1189
437,1406,1193
438,1402,1189
439,1408,1191
440,1414,1191
441,1417,1196
442,1417,1202
443,1421,1197
444,1421,1193
445,1429,1191
446,1424,1193
447,1421,1188
448,1425,1193
449,1426,1192
450,1434,1195
451,1437,1192
452,1433,1193
453,1437,1190
454,1442,1196
455,1446,1201
456,1441,1198
457,1449,1204
458,1455,1201
459,1457,1201
460,1453,1207
461,1453,1206
462,1449,1210
463,1448,1206
464,1444,1201
465,1439,1204
466,1443,1210
467,1443,1208
468,1439,1214
469,1435,1218
470,1433,1220
471,1431,1226
472,1428,1228
473,1435,1234
474,1432,1236
475,1427,1233
476,1425,1230
477,1424,1231
478,1429,1228
479,1431,1233
480,1426,1236
481,1433,1231
482,1435,1228
483,1441,1224
484,1441,1222
485,1441,1223
486,1444,1225
487,1441,1226
488,1437,1225
489,1440,1229
490,1443,1231
491,1441,1233
492,1445,1239
493,1445,1244
494,1450,1247
495,1458,1245
496,1454,1246
497,1454,1241
498,1449,1244
499,1446,1250
500,1444,1248
501,1449,1250
502,1452,1248
503,1460,1251
504,1459,1256
505,1456,1262
506,1462,1260
507,1470,1264
508,1470,1263
509,1471,1259
510,1465,1260
511,1467,1265
512,1469,1261
513,1465,1261
514,1468,1265
515,1469,1269
516,1464,1267
517,1459,1270
518,1460,1269
519,1457,1269
520,1452,1265
521,1460,1269
522,1462,1269
523,1467,1272
524,1470,1273
525,1464,1277
526,1466,1278
527,1472,1273
528,1476,1270
529,1483,1269
530,1485,1271
531,1492,1272
532,1488,1269
533,1483,1266
534,1490,1265
535,1485,1265
536,1488,1266
537,1484,1263
538,1484,1260
539,1492,1262
540,1498,1268
541,1493,1264
542,1497,1265
543,1498,1261
544,1496,1267
545,1498,1268
546,1494,1265
547,1498,1262
548,1501,1265
549,1504,1261
550,1505,1260
551,1500,1261
552,1508,1261
553,1513,1261
554,1521,1266
555,1522,1269
556,1528,1275
557,1531,1280
558,1530,1276
559,1530,1280
560,1533,1285
561,1538,1289
562,1532,1293
563,1536,1294
564,1531,1298
565,1539,1302
566,1545,1299
567,1544,1294
568,1551,1298
569,1548,1300
570,1549,1303
571,1547,1302
572,1544,1303
573,1542,1307
574,1544,1305
575,1539,1306
576,1536,1312
577,1531,1317
578,1525,1321
579,1522,1325
580,1516,1326
581,1514,1330
582,1518,1328
583,1514,1334
584,1522,1329
585,1525,1324
586,1528,1327
587,1523,1333
588,1527,1334
589,1525,1335
590,1532,1335
591,1540,1340
592,1544,1337
593,1539,1339
594,1535,1341
595,1535,1336
596,1531,1336
597,1533,1333
598,1540,1338
599,1548,1338
600,1548,1338
601,1548,1342
602,1546,1337
603,1552,1343
604,1560,1338
605,1556,1337
606,1552,1340
607,1555,1343
608,1550,1339
609,1556,1335
610,1557,1336
611,1559,1341
612,1555,1346
613,1552,1351
614,1559,1354
615,1566,1356
616,1574,1361
617,1576,1364
618,1578,1369
619,1580,1371
620,1582,1374
621,1581,1371
622,1586,1367
623,1591,1370
624,1599,1375
625,1604,1376
626,1601,1376
627,1602,1380
628,1608,1381
629,1610,1387
630,1607,1388
631,1607,1389
632,1614,1384
633,1614,1383
634,1621,1386
635,1628,1390
636,1626,1386
637,1625,1384
638,1629,1388
639,1636,1389
640,1637,1395
641,1645,1399
642,1642,1405
643,1642,1408
644,1650,1412
645,1651,1411
646,1646,1407
647,1646,1412
648,1652,1412
649,1648,1414
650,1643,1412
651,1643,1407
652,1639,1407
653,1643,1405
654,1645,1409
655,1648,1411
656,1642,1417
657,1645,1423
658,1645,1424
659,1645,1423
660,1639,1418
661,1647,1413
662,1645,1413
663,1649,1417
664,1650,1420
665,1649,1426
666,1651,1429
667,1654,1427
668,1659,1432
669,1662,1430
670,1666,1431
671,1669,1428
672,1666,1425
673,1668,1422
674,1664,1418
675,1658,1416
676,1658,1422
677,1661,1418
678,1664,1423
679,1662,1419
680,1663,1414
681,1670,1409
682,1664,1408
683,1662,1412
684,1657,1418
685,1660,1422
686,1667,1423
687,1673,1422
688,1671,1426
689,1665,1432
690,1670,1438
691,1674,1438
692,1675,1443
693,1682,1445
694,1685,1440
695,1687,1446
696,1691,1443
697,1694,1438
698,1700,1442
699,1696,1441
700,1692,1444
701,1699,1440
702,1706,1435
703,1700,1432
704,1705,1435
705,1705,1433
706,1704,1437
707,1707,1437
708,1707,1435
709,1706,1436
710,1712,1436
711,1714,1433
712,1713,1428
713,1718,1430
714,1719,1433
715,1720,1428
716,1723,1423
717,1726,1419
718,1733,1425
719,1730,1425
720,1724,1428
721,1722,1432
722,1721,1435
723,1720,1433
724,1719,1438
725,1722,1440
726,1728,1444
727,1725,1444
728,1730,1439
729,1729,1439
730,1730,1442
731,1734,1441
732,1734,1441
733,1737,1443
734,1738,1446
735,1743,1443
736,1743,1446
737,1738,1445
738,1733,1451
739,1739,1453
740,1745,1455
741,1741,1461
742,1749,1463
743,1746,1463
744,1754,1462
745,1748,1459
746,1745,1463
747,1747,1469
748,1749,1472
749,1744,1468
750,1752,1470
751,1757,1468
752,1760,1468
753,1758,1468
754,1754,1474
755,1756,1475
756,1758,1480
757,1753,1483
758,1753,1486
759,1756,1489
760,1764,1493
761,1760,1491
762,1763,1487
763,1763,1484
764,1769,1480
765,1765,1483
766,1773,1480
767,1774,1480
768,1775,1485
769,1773,1482
770,1775,1483
771,1774,1485
772,1782,1488
773,1783,1492
774,1779,1491
775,1776,1495
776,1772,1499
777,1766,1497
778,1772,1494
779,1770,1491
780,1769,1494
781,1766,1496
782,1769,1498
783,1763,1498
784,1760,1496
785,1767,1499
786,1768,1504
787,1770,1506
788,1770,1501
789,1778,1498
790,1774,1499
791,1772,1500
792,1774,1499
793,1771,1505
794,1779,1506
795,1774,1511
796,1780,1508
797,1776,1508
798,1782,1514
799,1788,1513
800,1782,1513
801,1789,1508
802,1787,1511
803,1781,1512
804,1785,1516
805,1783,1519
806,1783,1514
807,1785,1518
808,1793,1517
809,1794,1522
810,1802,1522
811,1797,1518
812,1798,1519
813,1805,1525
814,1804,1526
815,1802,1532
816,1807,1528
817,1813,1524
818,1818,1519
819,1820,1524
820,1828,1521
821,1834,1525
822,1833,1530
823,1840,1532
824,1834,1537
825,1842,1542
826,1840,1548
827,1848,1552
828,1846,1556
829,1848,1559
830,1852,1558
831,1847,1556
832,1847,1553
833,1853,1548
834,1847,1544
835,1850,1541
836,1846,1547
837,1847,1550
838,1850,1550
839,1856,1550
840,1864,1554
841,1871,1557
842,1871,1557
843,1872,1552
844,1868,1555
845,1865,1555
846,1873,1560
847,1877,1562
848,1873,1561
849,1872,1565
850,1875,1571
851,1871,1566
852,1878,1563
853,1876,1566
854,1878,1572
855,1873,1567
856,1879,1566
857,1882,1572
858,1890,1570
859,1897,1571
860,1897,1574
861,1903,1578
862,1909,1578
863,1911,1578
864,1918,1577
865,1924,1576
866,1920,1578
867,1915,1575
868,1914,1570
869,1921,1567
870,1918,1570
871,1925,1567
872,1921,1563
873,1916,1558
874,1914,1563
875,1916,1563
876,1916,1562
877,1915,1562
878,1916,1563
879,1913,1561
880,1920,1562
881,1921,1560
882,1920,1562
883,1916,1563
884,1912,1565
885,1919,1561
886,1926,1562
887,1925,1559
888,1932,1557
889,1935,1556
890,1935,1556
891,1935,1556
892,1933,1562
893,1939,1559
894,1941,1561
895,1937,1562
896,1935,1563
897,1936,1569
898,1932,1564
899,1939,1565
900,1935,1569
901,1934,1568
902,1929,1572
903,1923,1570
904,1928,1572
905,1930,1573
906,1924,1569
907,1922,1566
908,1924,1571
909,1930,1577
910,1937,1580
911,1937,1577
912,1944,1579
913,1951,1574
914,1947,1579
915,1953,1584
916,1950,1588
917,1947,1585
918,1945,1590
919,1941,1589
920,1940,1586
921,1941,1592
922,1942,1590
923,1948,1591
924,1945,1594
925,1942,1591
926,1950,1595
927,1955,1597
928,1954,1599
929,1959,1603
930,1967,1607
931,1974,1605
932,1972,1606
933,1976,1610
934,1971,1614
935,1971,1615
936,1973,1621
937,1979,1620
938,1982,1624
939,1988,1630
940,1995,1625
941,1989,1622
942,1988,1624
943,1984,1620
944,1984,1621
945,1985,1620
946,1987,1621
947,1982,1626
948,1987,1623
949,1983,1618
950,1982,1614
951,1985,1618
952,1991,1619
953,1989,1617
954,1988,1615
955,1982,1615
956,1990,1619
957,1991,1616
958,1985,1622
959,1991,1620
960,1999,1623
961,1997,1619
962,1995,1623
963,2002,1627
964,2006,1623
965,2005,1628
966,2007,1627
967,2007,1626
968,2015,1628
969,2022,1629
970,2016,1634
971,2013,1634
972,2020,1636
973,2019,1641
974,2024,1641
975,2020,1642
976,2026,1642
977,2020,1641
978,2020,1644
979,2028,1648
980,2025,1650
981,2028,1647
982,2023,1644
983,2030,1642
984,2034,1641
985,2034,1642
986,2034,1647
987,2040,1645
988,2035,1640
989,2029,1643
990,2029,1640
991,2037,1644
992,2038,1640
993,2033,1644
994,2035,1643
995,2043,1646
996,2047,1641
997,2043,1641
998,2043,1641
999,2050,1638
1000,2048,1643
1001,2053,1646
1002,2061,1651
1003,2069,1648
1004,2063,1648
1005,2058,1650
1006,2056,1655
1007,2056,1660
1008,2050,1660
1009,2049,1662
1010,2055,1665
1011,2057,1663
1012,2052,1665
1013,2053,1669
1014,2054,1667
1015,2061,1669
1016,2069,1666
1017,2069,1668
1018,2065,1664
1019,2071,1666
1020,2069,1668
1021,2064,1667
1022,2063,1667
1023,2060,1670
1024,2060,1669
1025,2065,1674
1026,2072,1677
1027,2066,1681
1028,2064,1678
1029,2061,1681
1030,2068,1683
1031,2064,1686
1032,2063,1682
1033,2063,1677
1034,2061,1679
1035,2056,1678
1036,2057,1680
1037,2054,1675
1038,2051,1674
1039,2050,1679
1040,2047,1679
1041,2045,1678
1042,2051,1676
1043,2046,1679
1044,2048,1676
1045,2056,1682
1046,2063,1683
1047,2068,1678
1048,2076,1675
1049,2083,1677
1050,2081,1673
1051,2087,1679
1052,2095,1682
1053,2092,1680
1054,2096,1686
1055,2092,1690
1056,2090,1690
1057,2089,1692
1058,2096,1687
1059,2103,1687
1060,2100,1684
1061,2106,1682
1062,2101,1682
1063,2101,1682
1064,2108,1679
1065,2108,1684
1066,2109,1683
1067,2110,1688
1068,2114,1683
1069,2108,1684
1070,2104,1684
1071,2105,1686
1072,2106,1692
1073,2106,1691
1074,2106,1686
1075,2108,1691
1076,2110,1691
1077,2109,1690
1078,2110,1694
1079,2112,1689
1080,2111,1684
1081,2118,1680
